Name,Category,Barcode,Price,Cost,Stock,Low Stock Alert,Unit
Sabuni ya Kufulia Jamaa,Household & Toiletries,10000000173,14500,11500,149,15,pcs
Sabuni ya Omo 500g,Household & Toiletries,10000000174,35000,22000,145,5,pcs
Sabuni ya Foma 1kg,Household & Toiletries,10000000175,35500,23500,86,5,kg
Dawa ya Meno Whitedent,Household & Toiletries,10000000176,8000,6500,37,10,pcs
Dawa ya Meno Colgate,Household & Toiletries,10000000177,14000,11000,63,15,pcs
Miswaki,Household & Toiletries,10000000178,13000,9000,77,20,pcs
Tissue Paper White Dent,Household & Toiletries,10000000179,16000,10500,23,5,pcs
Pads HC,Household & Toiletries,10000000180,30500,22500,80,5,pcs
Pads Mo Girl,Household & Toiletries,10000000181,3000,2500,43,15,pcs
Deodorant Nivea,Household & Toiletries,10000000182,11000,7500,119,5,pcs
Deodorant Axe,Household & Toiletries,10000000183,7000,6000,48,5,pcs
Body Lotion Vaseline,Household & Toiletries,10000000184,20000,14000,47,20,bottle
Mafuta ya Nazi,Household & Toiletries,10000000185,7500,6500,103,5,pcs
Dettol Soap,Household & Toiletries,10000000186,17000,13500,73,5,pcs
Protex Soap,Household & Toiletries,10000000187,20000,13500,114,10,pcs
Jik 500ml,Household & Toiletries,10000000188,15000,10000,55,20,bottle
Vim Lemon,Household & Toiletries,10000000189,3500,3000,95,20,bottle
Mop,Household & Toiletries,10000000190,36000,23500,73,15,pcs
Broom,Household & Toiletries,10000000191,11000,7500,37,20,pcs
Trash Bags,Household & Toiletries,10000000192,5000,3500,66,10,pcs
Engine Oil Castrol 5L,Hardware & Auto,10000000193,22500,17000,68,10,bottle
Brake Fluid 500ml,Hardware & Auto,10000000194,4000,3000,112,15,bottle
Spark Plugs,Hardware & Auto,10000000195,17000,11000,81,15,pcs
Car Wash Shampoo,Hardware & Auto,10000000196,32000,23000,147,15,pcs
Screwdriver Set,Hardware & Auto,10000000197,3500,3000,76,10,pcs
Hammer,Hardware & Auto,10000000198,33000,21000,77,5,pcs
Pliers,Hardware & Auto,10000000199,7500,5500,98,15,pcs
